"","Row","Study_No","Arm_No","No of arms","StudyID","Study_year","Year","Drug","Dose_intended_min","Dose_intended_max","Dosing_schedule","Dose_delivered_mean","Dose_range","Sponsored by this drug company or author employed by the drug company","Investigational_Comparator","No_randomised","Dropouts_total","Dropouts_sideeffects","N compimputed","Mean","SD","Responders","N comp+imputed","Unpublished","No_of_arms","Recruitment","RCT_type1","RCT_type2","RCT_type3","Treatment_setting","Diagnostic_criteria","Patient_status","Scale_for_threshold","Threshold_score","Placebo_run_in","Length of randomised comparison in wks","Rescue medications","Sequence_generation","Allocation_concealment","Blinding_participant","Blinding_therapist","Blinding_assessor","Unpublished_data","Selective_reporting_bias","Attrition_bias_by_study_for_respnse","Overall_study_RoB","Age_mean","%_Female","Imputation","Scale","Mean__1","Unpublished__1","No_of_arms__1","Recruitment__1","RCT_type1__1","RCT_type2__1","RCT_type3__1","Treatment_setting__1","Diagnostic_criteria__1","Patient_status__1","Scale_for_threshold__1","Threshold_score__1","Placebo_run_in__1","Length of randomised comparison in wks__1","Rescue medications__1","Sequence_generation__1","Allocation_concealment__1","Blinding_participant__1","Blinding_therapist__1","Blinding_assessor__1","Unpublished_data__1","Selective_reporting_bias__1","Attrition_bias_by_study_for_respnse__1","Overall_study_RoB__1"
"1178","v102",513,1,2,"Hunter2010 (Study 3)",2010,"2010","venlafaxine",150,150,"Fixed",150,"Licensed","Yes","Investigational",18,NA,NA,NA,NA,NA,NA,NA,"No",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","16","Yes",8,"No","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","High risk of bias",NA,"High risk","38.1","0.54500000000000004","MMRM","HAMD17",21.5,"No",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","16","Yes",8,"No","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","High risk of bias",NA,"High risk"
"1179","v103",513,2,2,"Hunter2010 (Study 3)",2010,"2010","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",15,NA,NA,NA,NA,NA,NA,NA,"No",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","16","Yes",8,"No","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","High risk of bias",NA,"Moderate risk","38.1","0.54500000000000004","MMRM","HAMD17",21.5,"No",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","16","Yes",8,"No","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","High risk of bias",NA,"Moderate risk"
"1187","v112",517,1,3,"Higuchi 2014(NCT01441440)",2011,"2016","venlafaxine",75,75,"Fixed",75,"Licensed","Yes","Investigational",174,23,9,174,-10.76,6.6,NA,174,"Yes",3,"Asia","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","26","Unclear",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","low","Moderate risk","38.4","0.517241379","MMRM","HAMD17",NA,"Yes",3,"Asia","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","26","Unclear",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","low","Moderate risk"
"1189","v114",517,3,3,"Higuchi 2014(NCT01441440)",2011,"2016","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",184,17,2,184,-9.25,6.51,NA,184,"Yes",3,"Asia","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","26","Unclear",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","low","Low risk","38.6","0.505434783","MMRM","HAMD17",NA,"Yes",3,"Asia","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","26","Unclear",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","low","Low risk"
"1194","vi01",520,1,2,"Rickels2009 (GNSC-04-DP-02) (NCT00285376)",2007,"2009","vilazodone",40,40,"Fixed",40,"Licensed","Yes","Investigational",205,53,19,198,-10.4,8.44,88,198,"No",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated","HAMD17","22","Unclear",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk","40",NA,"LOCF","HAMD17",24.8,"No",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated","HAMD17","22","Unclear",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk"
"1195","vi02",520,2,2,"Rickels2009 (GNSC-04-DP-02) (NCT00285376)",2007,"2009","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",205,51,10,199,-8.6,8.46,65,199,"No",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated","HAMD17","22","Unclear",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk","39.799999999999997",NA,"LOCF","HAMD17",24.9,"No",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated","HAMD17","22","Unclear",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk"
"1196","vi03",521,1,2,"Khan2011 (CLDA-07-DP-02) (NCT00683592)",2009,"2011","vilazodone",40,40,"Fixed",40,"Licensed","Yes","Investigational",240,47,12,231,-10.7,10.64,102,231,"Yes",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated","HAMD17","22","Unclear",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Moderate risk","41.1",NA,"LOCF","HAMD17",25,"Yes",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated","HAMD17","22","Unclear",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Moderate risk"
"1197","vi04",521,2,2,"Khan2011 (CLDA-07-DP-02) (NCT00683592)",2009,"2011","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",241,46,4,232,-9.1,10.66,76,232,"Yes",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated","HAMD17","22","Unclear",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Low risk","42.4",NA,"LOCF","HAMD17",25.3,"Yes",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated","HAMD17","22","Unclear",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Low risk"
"1204","vi11",523,4,5,"245 (EMD 68 843-010)",NA,"unpublished","fluoxetine",20,20,"Fixed",20,"Licensed","No","Comparator",92,NA,NA,92,-11.1,7.67,43,92,"Yes",5,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","20","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Unclear risk of bias",NA,"Moderate risk",NA,NA,"Others","HAMD17",23.5,"Yes",5,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","20","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Unclear risk of bias",NA,"Moderate risk"
"1205","vi12",523,5,5,"245 (EMD 68 843-010)",NA,"unpublished","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",99,NA,NA,99,-10.2,7.96,42,99,"Yes",5,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","20","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Unclear risk of bias",NA,"Moderate risk",NA,NA,"Others","HAMD17",23.4,"Yes",5,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","20","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Unclear risk of bias",NA,"Moderate risk"
"1206","vi13",524,1,4,"246 (SB 659746-003)",NA,"unpublished","vilazodone",10,10,"Fixed",10,"Low","Yes","Investigational",120,NA,NA,120,13,7.52,53,120,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","20","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Unclear risk of bias",NA,"Moderate risk",NA,NA,"Others","HAMD17",23.8,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","20","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Unclear risk of bias",NA,"Moderate risk"
"1207","vi14",524,2,4,"246 (SB 659746-003)",NA,"unpublished","vilazodone",20,20,"Fixed",20,"Licensed","Yes","Investigational",123,NA,NA,121,12.6,7.52,56,121,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","20","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Unclear risk of bias",NA,"Moderate risk",NA,NA,"Others","HAMD17",23.7,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","20","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Unclear risk of bias",NA,"Moderate risk"
"1208","vi15",524,3,4,"246 (SB 659746-003)",NA,"unpublished","citalopram",20,20,"Fixed",20,"Licensed","No","Comparator",117,NA,NA,115,12.3,7.52,53,115,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","20","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Unclear risk of bias",NA,"Moderate risk",NA,NA,"Others","HAMD17",23.1,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","20","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Unclear risk of bias",NA,"Moderate risk"
"1209","vi16",524,4,4,"246 (SB 659746-003)",NA,"unpublished","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",129,NA,NA,128,13.1,7.52,54,128,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","20","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Unclear risk of bias",NA,"Moderate risk",NA,NA,"Others","HAMD17",23.3,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","20","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Unclear risk of bias",NA,"Moderate risk"
"1212","vi19",526,1,4,"248 (SB 659746-002)",NA,"unpublished","vilazodone",5,5,"Fixed",5,"Extremely low","Yes","Investigational",140,28,5,140,13,7.52,63,140,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","20","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Low risk of bias","high","High risk",NA,NA,"Others","HAMD17",24,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","20","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Low risk of bias","high","High risk"
"1213","vi20",526,2,4,"248 (SB 659746-002)",NA,"unpublished","vilazodone",10,10,"Fixed",10,"Low","Yes","Investigational",133,28,4,133,11.7,7.52,70,133,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","20","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Low risk of bias","high","High risk",NA,NA,"Others","HAMD17",24.5,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","20","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Low risk of bias","high","High risk"
"1214","vi21",526,3,4,"248 (SB 659746-002)",NA,"unpublished","vilazodone",20,20,"Fixed",20,"Licensed","Yes","Investigational",132,42,4,132,12.6,7.52,63,132,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","20","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Low risk of bias","high","High risk",NA,NA,"Others","HAMD17",24.3,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","20","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Low risk of bias","high","High risk"
"1215","vi22",526,4,4,"248 (SB 659746-002)",NA,"unpublished","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",128,31,2,128,12.2,7.52,62,128,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","20","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Low risk of bias","high","Moderate risk",NA,NA,"Others","HAMD17",23.7,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","20","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Low risk of bias","high","Moderate risk"
"1216","vi23",527,1,2,"Croft2014 (NCT01473394)",2013,"2014","vilazodone",40,40,"Fixed",40,"Licensed","Yes","Investigational",260,48,16,253,14.6,11.13,146,253,"No",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","26","No",8,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","low","Moderate risk","39.299999999999997","0.51400000000000001","MMRM","MADRS",30.6,"No",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","26","No",8,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","low","Moderate risk"
"1217","vi24",527,2,2,"Croft2014 (NCT01473394)",2013,"2014","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",258,50,13,252,20.1,11.11,91,252,"No",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","26","No",8,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","low","Low risk","41.1","0.56100000000000005","MMRM","MADRS",30.9,"No",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","26","No",8,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","low","Low risk"
"1218","vi25",528,1,4,"Mathews2015 (NCT01473381)",2013,"2015","vilazodone",20,20,"Fixed",17,"Low","Yes","Investigational",292,93,20,288,-16.46,9.96,155,288,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","26","Unclear",10,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk","41.7","0.57599999999999996","MMRM","MADRS",31,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","26","Unclear",10,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk"
"1219","vi26",528,2,4,"Mathews2015 (NCT01473381)",2013,"2015","vilazodone",40,40,"Fixed",30,"Licensed","Yes","Investigational",291,102,25,284,-17.35,9.96,164,284,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","26","Unclear",10,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk","40.799999999999997","0.57099999999999995","MMRM","MADRS",30.8,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","26","Unclear",10,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk"
"1220","vi27",528,3,4,"Mathews2015 (NCT01473381)",2013,"2015","citalopram",40,40,"Fixed",40,"Licensed","No","Comparator",289,89,17,280,-16.5,9.96,151,280,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","26","Unclear",10,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Low risk","42.6","0.58499999999999996","MMRM","MADRS",31.1,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","26","Unclear",10,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Low risk"
"1221","vi27",528,4,4,"Mathews2015 (NCT01473381)",2013,"2015","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",290,80,7,281,-14.31,9.96,125,281,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","26","Unclear",10,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Low risk","42","0.56200000000000006","MMRM","MADRS",31.3,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","26","Unclear",10,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Low risk"
"1222","vi28",529,1,2,"Pomara2013",2013,"2013","vilazodone",40,40,"Fixed",40,"Licensed","Unclear","Investigational",255,NA,NA,255,-16.1,9.96,NA,255,"No",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","26","Unclear",9,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","High risk of bias",NA,"Moderate risk",NA,NA,"MMRM","MADRS",NA,"No",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","26","Unclear",9,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","High risk of bias",NA,"Moderate risk"
"1223","vi29",529,2,2,"Pomara2013",2013,"2013","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",253,NA,NA,253,-11,9.96,NA,253,"No",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","26","Unclear",9,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","High risk of bias",NA,"Moderate risk",NA,NA,"MMRM","MADRS",NA,"No",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","26","Unclear",9,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","High risk of bias",NA,"Moderate risk"
"1224","vo01",530,1,4,"Alvarez2012 (11492A, NCT00839423)",2007,"2012","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",105,18,4,105,-12.23,9.22,42,105,"Yes",4,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Outpatients only","MADRS","30","Unclear",6,"Yes","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Low risk of bias","Low risk of bias","high","Moderate risk","42",NA,"LOCF","HAMD24",29.7,"Yes",4,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Outpatients only","MADRS","30","Unclear",6,"Yes","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Low risk of bias","Low risk of bias","high","Moderate risk"
"1225","vo02",530,2,4,"Alvarez2012 (11492A, NCT00839423)",2007,"2012","vortioxetine",5,5,"Fixed",5,"Licensed","Yes","Investigational",109,11,3,108,-17.51,9.25,78,108,"Yes",4,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Outpatients only","MADRS","30","Unclear",6,"Yes","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Low risk of bias","Low risk of bias","high","High risk","43.8",NA,"LOCF","HAMD24",29.9,"Yes",4,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Outpatients only","MADRS","30","Unclear",6,"Yes","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Low risk of bias","Low risk of bias","high","High risk"
"1226","vo03",530,3,4,"Alvarez2012 (11492A, NCT00839423)",2007,"2012","vortioxetine",10,10,"Fixed",10,"Licensed","Yes","Investigational",101,19,7,100,-17.57,9.2,69,100,"Yes",4,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Outpatients only","MADRS","30","Unclear",6,"Yes","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Low risk of bias","Low risk of bias","high","High risk","42.3",NA,"LOCF","HAMD24",29.3,"Yes",4,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Outpatients only","MADRS","30","Unclear",6,"Yes","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Low risk of bias","Low risk of bias","high","High risk"
"1227","vo04",530,4,4,"Alvarez2012 (11492A, NCT00839423)",2007,"2012","venlafaxine",225,225,"Fixed",225,"Licensed","No","Comparator",114,20,16,111,-17.32,9.27,81,112,"Yes",4,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Outpatients only","MADRS","30","Unclear",6,"Yes","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Low risk of bias","Low risk of bias","high","Moderate risk","45",NA,"LOCF","HAMD24",29.4,"Yes",4,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Outpatients only","MADRS","30","Unclear",6,"Yes","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Low risk of bias","Low risk of bias","high","Moderate risk"
"1228","vo05",531,1,2,"Jain2013 (303, NCT00672958)",2008,"2013","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",300,64,11,286,-13.87,11.2,132,286,"Yes",2,"North America","Parallel","Individual randomised","Multi-center","Both","DSM-IV","Outpatients only","MADRS","30","Unclear",6,"No","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Low risk","42.4","0.54700000000000004","LOCF","HAMD24",32.2,"Yes",2,"North America","Parallel","Individual randomised","Multi-center","Both","DSM-IV","Outpatients only","MADRS","30","Unclear",6,"No","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Low risk"
"1229","vo06",531,2,2,"Jain2013 (303, NCT00672958)",2008,"2013","vortioxetine",5,5,"Fixed",5,"Licensed","Yes","Investigational",300,56,9,292,-14.61,11.11,135,292,"Yes",2,"North America","Parallel","Individual randomised","Multi-center","Both","DSM-IV","Outpatients only","MADRS","30","Unclear",6,"No","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Moderate risk","42.5","0.62","LOCF","HAMD24",32.7,"Yes",2,"North America","Parallel","Individual randomised","Multi-center","Both","DSM-IV","Outpatients only","MADRS","30","Unclear",6,"No","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Moderate risk"
